id,firstName,lastName,age,gender,height,weight,latitude,longitude,country,top_product_category_in_basket
1,Emily,Johnson,29,female,193.24,63.16,-77.16213,-92.084824,None,tops
2,Michael,Williams,36,male,186.22,76.32,22.815468,115.608581,China,mens-shirts
3,Sophia,Brown,43,female,177.72,52.6,45.289366,46.832664,Russia,mens-shirts
4,James,Davis,46,male,193.31,62.1,16.782513,-139.34723,None,fragrances
5,Emma,Miller,31,female,192.8,63.62,0.505589,-157.43281,None,tablets
6,Olivia,Wilson,23,female,182.61,58,75.32627,-26.15285,Greenland,womens-watches
7,Alexander,Jones,39,male,153.89,77.42,35.289664,7.063255,Algeria,mens-shoes
8,Ava,Taylor,28,female,168.47,57.08,-81.194833,-87.948158,None,mobile-accessories
9,Ethan,Martinez,34,male,159.19,68.81,74.074918,-25.312703,Greenland,beauty
10,Isabella,Anderson,32,female,150.56,50.1,41.331324,151.782727,None,mobile-accessories
11,Liam,Garcia,30,male,162.32,93.16,-66.218177,-145.340165,None,motorcycle
12,Mia,Rodriguez,25,female,188.08,56.03,24.857497,-34.865429,None,groceries
13,Noah,Hernandez,41,male,188.62,69.49,-25.0377,-151.70469,None,groceries
14,Charlotte,Lopez,37,female,178.92,82.46,-44.443762,-151.420561,None,kitchen-accessories
15,William,Gonzalez,33,male,173.21,82.41,8.152876,113.29799,Vietnam,kitchen-accessories
16,Avery,Perez,26,female,172.68,93.9,12.789127,85.792598,None,groceries
17,Evelyn,Sanchez,38,female,184.08,83.15,-83.31484,11.768071,None,groceries
18,Logan,Torres,32,male,190.04,72.43,-64.846516,174.775744,None,vehicle
19,Abigail,Rivera,29,female,186.39,74.61,44.321308,-3.723903,None,kitchen-accessories
20,Jackson,Evans,35,male,162.57,74.37,34.722451,63.448927,Afghanistan,smartphones
21,Madison,Collins,27,female,189.28,56.96,52.993694,160.486892,None,tops
22,Elijah,Stewart,34,male,195.33,81.64,-54.833799,-174.504027,None,groceries
23,Chloe,Morales,40,female,185.07,63.97,-30.190759,-58.705979,None,smartphones
24,Mateo,Nguyen,31,male,174.29,59.98,-32.828675,-82.557354,None,motorcycle
25,Harper,Kelly,28,female,184.32,81.69,-26.832913,-75.445017,None,mobile-accessories
26,Evelyn,Gonzalez,36,female,168.94,58.47,67.768359,71.268643,None,sports-accessories
27,Daniel,Cook,42,male,186.21,83.72,-3.456681,-134.937482,None,mens-watches
28,Lily,Lee,30,female,181.42,51.49,-9.87059,-72.336845,None,womens-jewellery
29,Henry,Hill,39,male,180.25,95.84,35.498256,154.088476,None,mobile-accessories
30,Addison,Wright,33,female,179.32,76.93,20.946052,100.228822,None,beauty
31,Gabriel,Adams,37,male,181.72,79.14,52.410844,23.60067,None,kitchen-accessories
32,Natalie,Harris,29,female,196.7,57,-20.105724,136.91646,None,groceries
33,Carter,Baker,32,male,190.96,70.78,-63.00584,76.189171,None,furniture
34,Sofia,Mitchell,26,female,186.93,69.14,-44.27707,-40.123604,None,mobile-accessories
35,Jack,Ward,30,male,198.13,56.73,52.754451,32.383886,None,kitchen-accessories
36,Harper,Turner,34,female,191.03,70.18,-41.149882,-167.072873,None,kitchen-accessories
37,Mason,Parker,35,male,171.56,76.25,-59.018685,82.296555,None,groceries
38,Aria,Roberts,27,female,199.62,88.96,36.157244,-29.219594,None,mobile-accessories
39,Lucas,Gray,31,male,195.26,88.5,-50.975209,53.492629,None,sports-accessories
40,Ella,Adams,28,female,167.53,64.19,-20.421386,-125.851148,None,kitchen-accessories
41,Evan,Reed,33,male,152.55,90.4,89.781211,-50.810277,None,groceries
42,Avery,Carter,29,female,179.92,59.37,-59.303292,-87.318538,None,sports-accessories
43,Benjamin,Foster,35,male,164.2,58.9,41.653453,175.676203,None,mens-shoes
44,Scarlett,Wright,27,female,180.04,70.75,-58.699428,143.479322,None,kitchen-accessories
45,Lincoln,Kelly,31,male,191.01,73.38,59.268321,-30.466022,None,kitchen-accessories
46,Hannah,Robinson,30,female,150.25,67.93,3.84181,-33.501862,None,groceries
47,Nicholas,Bailey,36,male,162.29,50.86,2.340163,-34.156688,None,tops
48,Luna,Russell,28,female,188,76.37,81.64788,179.922909,None,sports-accessories
49,Jacob,Cooper,32,male,157.39,96.32,75.201414,-106.866138,None,womens-jewellery
50,Stella,Hughes,34,female,171.2,81.45,-29.825372,116.639085,None,kitchen-accessories
51,Eli,Bennett,30,male,170.61,91.22,-15.022759,58.392572,None,smartphones
52,Grace,Perry,27,female,193.34,81.7,-63.108401,-30.256437,None,vehicle
53,Lucas,Gordon,36,male,179.73,72.92,-54.741494,-116.593511,None,tops
54,Ava,Harrison,29,female,155.72,93.47,-84.032892,-46.255902,None,laptops
55,Owen,Fisher,32,male,167.31,72.03,79.330781,-13.162134,None,kitchen-accessories
56,Samantha,Howard,31,female,183.61,81.47,-30.25137,124.764848,None,kitchen-accessories
57,Nathan,Dixon,35,male,166.43,59.96,-15.794158,-83.214052,None,mens-shoes
58,Bella,Grant,28,female,192.65,96.46,30.371676,-141.802948,None,womens-bags
59,Ethan,Fletcher,34,male,183.99,83.98,29.411519,23.598322,None,vehicle
60,Lillian,Simmons,33,female,173.72,87.33,-78.054184,-159.412033,None,laptops
61,Mason,Pearson,29,male,198.74,60.14,-38.914334,171.16941,None,kitchen-accessories
62,Leah,Henderson,27,female,153.01,67.56,24.228272,23.462478,None,smartphones
63,Logan,Lawson,34,male,195.97,51.89,40.581664,146.441717,None,groceries
64,Avery,Barnes,30,female,158.1,77.81,-5.728671,38.921097,None,fragrances
65,Caleb,Perkins,31,male,151.24,62.54,-25.994847,-147.135588,None,womens-bags
66,Aria,Ferguson,28,female,161.81,97.12,-66.092723,169.9952,None,groceries
67,Gabriel,Hayes,35,male,172,83.77,-25.766511,-76.004117,None,fragrances
68,Layla,Sullivan,26,female,187.49,56.12,89.415268,-29.532108,None,kitchen-accessories
69,Christopher,West,32,male,173.02,83.19,-82.516652,-147.519835,None,smartphones
70,Zoe,Nicholson,33,female,177.34,56.28,35.632082,127.968158,None,tablets
71,Nolan,Bryant,30,male,180.65,94.04,-87.184494,-137.530694,None,motorcycle
72,Victoria,McDonald,28,female,172.55,97.24,-72.323497,138.264727,None,home-decoration
73,Max,Russell,35,male,153.37,76.58,27.088722,104.023237,None,skin-care
74,Penelope,Harper,29,female,161.76,93.74,54.991384,14.355841,None,smartphones
75,Ryan,Graham,32,male,170.74,74.67,11.44191,-42.217944,None,groceries
76,Madeline,Simpson,27,female,181.51,67.7,-61.252684,-159.370289,None,laptops
77,Jonathan,Pierce,34,male,151.41,57.86,-85.385955,-49.11738,None,mobile-accessories
78,Eleanor,Tyler,31,female,195.85,70.03,51.5965,47.479982,None,womens-dresses
79,Isaac,Lawrence,33,male,177.52,88.08,63.188944,-119.083714,None,groceries
80,Hazel,Gardner,28,female,166.79,82.31,-9.898936,81.738951,None,furniture
81,Austin,Hudson,30,male,189.77,66.83,-28.392471,-44.144328,None,groceries
82,Lillian,Bishop,27,female,192.14,64.86,39.203338,-68.447736,None,home-decoration
83,Dylan,Wells,35,male,156.56,83.29,-82.623651,33.259567,None,furniture
